"utterance","correct_answer","rt","feature_type","response","correct_color","slide_number_in_experiment","feature","correct_material","object","workerid","Answer.time_in_minutes","label","item","speaker_cond"
"","['no']",NA,"['color']","[978, 'no']","['blue']","62","['clear']","['paper']","",1,3.75171666666667,"plate_paper_blue","['plate']","list1"
"","['yes']",NA,"['material']","[1233, 'yes']","['green']","63","['glass']","['glass']","",1,3.75171666666667,"pitcher_glass_green","['pitcher']","list1"
"","['yes']",NA,"['material']","[1767, 'yes']","['blue']","64","['glass']","['glass']","",1,3.75171666666667,"bowl_glass_blue","['bowl']","list1"
"","['no']",NA,"['material']","[818, 'no']","['green']","65","['leather']","['metal']","",1,3.75171666666667,"cup_metal_green","['cup']","list1"
"","['no']",NA,"['color']","[1088, 'no']","['white']","66","['brown']","['plastic']","",1,3.75171666666667,"bag_plastic_original","['bag']","list1"
"","['yes']",NA,"['material']","[1078, 'yes']","['green']","67","['leather']","['leather']","",1,3.75171666666667,"boot_leather_green","['boot']","list1"
"","['no']",NA,"['material']","[872, 'no']","['brown']","68","['plastic']","['wood']","",1,3.75171666666667,"box_wood_original","['box']","list1"
"","['no']",NA,"['material']","[1216, 'no']","['green']","69","['paper']","['rubber']","",1,3.75171666666667,"boot_rubber_original","['boot']","list1"
"","['yes']",NA,"['color']","[920, 'yes']","['blue']","70","['blue']","['metal']","",1,3.75171666666667,"pitcher_metal_blue","['pitcher']","list1"
"","['yes']",NA,"['material']","[968, 'yes']","['green']","71","['metal']","['metal']","",1,3.75171666666667,"spoon_metal_green","['spoon']","list1"
"","['no']",NA,"['color']","[927, 'no']","['green']","72","['purple']","['paper']","",1,3.75171666666667,"bag_paper_green","['bag']","list1"
"","['yes']",NA,"['color']","[810, 'yes']","['purple']","73","['purple']","['wood']","",1,3.75171666666667,"chair_wood_purple","['chair']","list1"
"","['no']",NA,"['color']","[1265, 'no']","['blue']","74","['silver']","['glass']","",1,3.75171666666667,"bottle_glass_blue","['bottle']","list1"
"","['yes']",NA,"['material']","[1111, 'yes']","['green']","75","['denim']","['denim']","",1,3.75171666666667,"jacket_denim_green","['jacket']","list1"
"","['no']",NA,"['color']","[959, 'no']","['blue']","76","['silver']","['plastic']","",1,3.75171666666667,"cup_plastic_blue","['cup']","list1"
"","['no']",NA,"['color']","[977, 'no']","['green']","77","['brown']","['wood']","",1,3.75171666666667,"box_wood_green","['box']","list1"
"","['yes']",NA,"['material']","[817, 'yes']","['green']","78","['rubber']","['rubber']","",1,3.75171666666667,"boot_rubber_green","['boot']","list1"
"","['no']",NA,"['color']","[795, 'no']","['blue']","79","['clear']","['plastic']","",1,3.75171666666667,"plate_plastic_original","['plate']","list1"
"","['yes']",NA,"['color']","[952, 'yes']","['green']","80","['green']","['plastic']","",1,3.75171666666667,"pitcher_plastic_green","['pitcher']","list1"
"","['no']",NA,"['material']","[919, 'no']","['clear']","81","['cardboard']","['glass']","",1,3.75171666666667,"bowl_glass_original","['bowl']","list1"
"","['yes']",NA,"['material']","[1183, 'yes']","['blue']","82","['cardboard']","['cardboard']","",1,3.75171666666667,"box_cardboard_blue","['box']","list1"
"","['yes']",NA,"['color']","[784, 'yes']","['green']","83","['green']","['metal']","",1,3.75171666666667,"table_metal_green","['table']","list1"
"","['no']",NA,"['color']","[954, 'no']","['black']","84","['red']","['leather']","",1,3.75171666666667,"boot_leather_original","['boot']","list1"
